Timestamp;GazePoint
636215517901,776;
1167610098,32849;0.5128:0.4744
1167610098,3823;0.4996:0.4955
1167610098,43267;0.4978:0.46615
1167610098,48522;0.51305:0.43285
1167610098,53792;0.5053:0.50235
1167610098,58937;0.5088:0.4737
1167610098,64297;0.5421:0.42545
1167610098,69108;0.5562:0.4476
1167610098,74251;0.37595:0.44595
1167610098,79419;0.2926:0.4777
1167610098,84797;0.354:0.3934
1167610098,89653;0.3441:0.3885
1167610098,94956;0.3749:0.32805
1167610099,00142;0.36555:0.3463
1167610099,05941;0.3709:0.34835
1167610099,11719;0.4028:0.29845
1167610099,17313;0.63305:0.3988
1167610099,22515;0.64115:0.3721
1167610099,28879;0.62215:0.39945
1167610099,34088;0.63095:0.38445
1167610099,39711;0.6288:0.3689
1167610099,43241;0.74025:0.49495
1167610099,47281;0.7457:0.53105
1167610099,50852;0.7457:0.5329
1167610099,55027;0.74175:0.5367
1167610099,58792;0.74685:0.5198
1167610099,62998;0.7393:0.5053
1167610099,66606;0.73335:0.4973
1167610099,70311;0.73275:0.4972
1167610099,74195;0.73005:0.4939
1167610099,78013;0.7289:0.5021
1167610099,8183;0.8867:0.679
1167610099,85539;0.8867:0.68275
1167610099,8925;0.8847:0.68125
1167610099,93061;0.8856:0.68875
1167610099,96808;0.8801:0.68085
1167610100,00578;0.8652:0.68045
1167610100,04231;0.8634:0.6913
1167610100,07937;
1167610100,11628;0.86535:0.69355
1167610100,14881;0.85885:0.7025
1167610100,18513;0.86185:0.679
1167610100,22334;0.86055:0.67965
1167610100,2609;0.86145:0.6823
1167610100,2995;0.86:0.68735
1167610100,33759;0.8642:0.6784
1167610100,37593;0.8596:0.6729
1167610100,41405;0.86615:0.67475
1167610100,4516;0.8656:0.67985
1167610100,49013;0.8639:0.6739
1167610100,53112;0.8705:0.66405
1167610100,56997;0.90045:0.49745
1167610100,60872;0.88265:0.2534
1167610100,64746;0.8762:0.23935
1167610100,68791;0.87995:0.2597
1167610100,73547;0.89105:0.2598
1167610100,77649;0.8854:0.2575
1167610100,81822;0.79925:0.20325
1167610100,8577;0.79725:0.21605
1167610100,89535;0.8018:0.20435
1167610100,93645;0.8462:0.63085
1167610100,97555;0.8568:0.66435
1167610101,01888;0.85045:0.63495
1167610101,05776;0.85445:0.647
1167610101,10269;0.853:0.65095
1167610101,14134;0.8452:0.6488
1167610101,18475;0.70775:0.52945
1167610101,22383;0.71095:0.5232
1167610101,26876;0.71335:0.51695
1167610101,30882;0.7178:0.49765
1167610101,35293;0.71265:0.5057
1167610101,39266;0.72285:0.4955
1167610101,43708;0.726:0.49105
1167610101,47848;0.7253:0.4857
1167610101,52311;0.72285:0.49345
1167610101,56275;0.71895:0.48925
1167610101,60595;0.72695:0.48655
1167610101,64472;0.7274:0.4759
1167610101,68381;0.7273:0.49435
1167610101,72162;0.7276:0.48645
1167610101,7602;0.7269:0.48225
1167610101,79728;0.7255:0.47575
1167610101,83419;0.5165:0.6354
1167610101,87226;0.36895:0.7348
1167610101,91124;0.3767:0.7221
1167610101,95006;0.3744:0.7187
1167610101,98741;0.38125:0.72825
1167610102,02449;0.37915:0.7299
1167610102,06277;0.3288:0.72275
1167610102,0998;0.2972:0.7239
1167610102,13652;0.29685:0.72155
1167610102,17418;0.29795:0.73495
1167610102,21213;0.30065:0.7485
1167610102,25046;0.2969:0.73055
1167610102,28854;0.3128:0.73575
1167610102,32761;0.31225:0.739
1167610102,36493;0.3113:0.7141
1167610102,4027;0.31775:0.73065
1167610102,44106;0.3135:0.73535
1167610102,47949;0.3132:0.7322
1167610102,51753;0.2477:0.7674
1167610102,55441;0.22605:0.7923
1167610102,59068;0.19645:0.78825
1167610102,62775;0.19175:0.77875
1167610102,66775;0.1965:0.78735
1167610102,7083;0.2:0.79365
1167610102,74459;0.1961:0.7667
1167610102,78182;0.0668:0.6526
1167610102,81967;0.0565:0.6464
1167610102,85798;0.0606:0.6308
1167610102,89982;0.05785:0.6459
1167610102,93771;0.0583:0.6396
1167610102,9811;0.05805:0.6383
1167610103,01793;0.0612:0.6412
1167610103,06161;0.05215:0.6139
1167610103,09963;0.05925:0.62635
1167610103,14054;0.0583:0.62935
1167610103,17813;0.0615:0.61845
1167610103,21969;0.0531:0.33595
1167610103,25696;0.0567:0.3322
1167610103,30008;0.05795:0.3175
1167610103,33772;0.0579:0.325
1167610103,37996;
1167610103,4191;
1167610103,45187;0.1053:0.3254
1167610103,47894;0.11145:0.3383
1167610103,51978;0.10835:0.34475
1167610103,55586;0.11105:0.32585
1167610103,59225;0.11585:0.33475
1167610103,62854;0.10895:0.3372
1167610103,66536;0.30855:0.33265
1167610103,70232;0.37005:0.3533
1167610103,73912;0.37395:0.368
1167610103,77805;0.37325:0.36595
1167610103,81647;0.37785:0.3545
1167610103,85542;0.3724:0.3634
1167610103,89355;0.37055:0.3732
1167610103,93146;0.36675:0.3707
1167610103,9693;0.3737:0.35445
1167610104,00816;0.25825:0.9068
1167610104,04669;0.26845:0.8713
1167610104,08529;0.26705:0.884
1167610104,12311;0.27065:0.8731
1167610104,16072;0.26885:0.8794
1167610104,19798;0.2651:0.86685
1167610104,23551;0.2918:0.8829
1167610104,27243;0.44135:0.90025
1167610104,30936;0.44325:0.8968
1167610104,34731;0.43705:0.89755
1167610104,38566;0.44495:0.88125
1167610104,42326;0.4734:0.9171
1167610104,46043;0.69875:0.8558
1167610104,49808;0.6995:0.84305
1167610104,53744;0.7228:0.8459
1167610104,57561;0.71945:0.82355
1167610104,61851;0.7301:0.84025
1167610104,65706;0.89865:0.84385
1167610104,69478;0.89945:0.84325
1167610104,73449;0.8957:0.84255
1167610104,77353;0.90035:0.85525
1167610104,81443;0.89975:0.8472
1167610104,8524;0.90695:0.83475
1167610104,89611;0.9276:0.78195
1167610104,93497;
1167610104,97849;
1167610105,00768;0.93495:0.79685
1167610105,04811;0.9239:0.76485
1167610105,08874;0.9269:0.77815
1167610105,13198;0.92595:0.78325
1167610105,17051;
1167610105,2125;
1167610105,24136;
1167610105,28129;
1167610105,31165;0.8709:0.3039
1167610105,35385;0.871:0.3062
1167610105,3949;0.785:0.22175
1167610105,44006;0.77415:0.22155
1167610105,47926;0.77045:0.2085
1167610105,51881;0.76785:0.21465
1167610105,55752;0.772:0.19955
1167610105,5961;0.6444:0.2577
1167610105,63495;0.6431:0.2636
1167610105,67314;0.6375:0.271
1167610105,71248;0.63745:0.2574
1167610105,75177;0.664:0.28425
1167610105,79055;0.6712:0.26645
1167610105,82984;0.66585:0.279
1167610105,86911;0.6691:0.2667
1167610105,90817;0.44655:0.28355
1167610105,94778;0.19055:0.27545
1167610105,98759;0.18265:0.27715
1167610106,02856;0.17045:0.27615
1167610106,07513;0.16905:0.2679
1167610106,1208;0.16905:0.2699
1167610106,16813;0.0877:0.2822
1167610106,20851;
1167610106,24769;0.04805:0.29855
1167610106,27729;0.04365:0.29755
1167610106,31529;0.0467:0.3099
1167610106,35365;0.0511:0.28145
1167610106,39234;0.06725:0.36645
1167610106,43148;0.0908:0.50205
1167610106,46922;0.0895:0.5029
1167610106,51235;0.097:0.5119
1167610106,55126;0.09255:0.50955
1167610106,59015;0.09455:0.5096
1167610106,62959;0.0608:0.6744
1167610106,6684;0.0615:0.6686
1167610106,70966;0.0647:0.6566
1167610106,7524;0.0665:0.66425
1167610106,79119;0.06515:0.6598
1167610106,83496;0.2843:0.71985
1167610106,87555;0.2778:0.7325
1167610106,92165;0.2792:0.7242
1167610106,96073;0.28405:0.7297
1167610107,00416;0.2826:0.7324
1167610107,04333;0.2846:0.72615
1167610107,08865;0.28345:0.728
1167610107,12843;0.27545:0.7243
1167610107,1718;0.4758:0.6345
1167610107,21117;0.6267:0.5711
1167610107,25334;0.62125:0.5701
1167610107,29209;0.6219:0.57905
1167610107,33759;0.6842:0.5616
1167610107,37537;0.73045:0.5647
1167610107,41749;0.75135:0.53285
1167610107,45408;0.7489:0.54695
1167610107,49609;0.75005:0.55185
1167610107,53512;0.72955:0.5111
1167610107,57353;0.73115:0.50065
1167610107,61125;0.7278:0.5201
1167610107,64938;0.72985:0.5
1167610107,68714;0.726:0.5017
1167610107,72522;0.72605:0.49935
1167610107,76371;0.72305:0.499
1167610107,802;0.72565:0.5095
1167610107,84007;0.7245:0.51145
1167610107,87883;0.7294:0.5099
1167610107,91687;0.72395:0.50735
1167610107,95528;0.4655:0.43045
1167610107,99326;0.40795:0.4207
1167610108,03115;0.41505:0.42435
1167610108,06857;0.4087:0.42115
1167610108,10597;0.4076:0.4182
1167610108,14424;0.41095:0.41135
1167610108,18284;0.412:0.42405
1167610108,22128;0.4059:0.42105
1167610108,25875;0.37735:0.38765
1167610108,29691;0.3625:0.3569
1167610108,33471;0.3675:0.36295
1167610108,37253;0.36665:0.37145
1167610108,41147;0.3296:0.38745
1167610108,44967;0.32485:0.4023
1167610108,48837;0.3271:0.40605
1167610108,52868;0.32505:0.3945
1167610108,56726;0.32325:0.3991
1167610108,60584;0.3179:0.40145
1167610108,64326;0.3258:0.40735
1167610108,68313;0.24075:0.43175
1167610108,7249;0.0972:0.4423
1167610108,76613;0.0954:0.4535
1167610108,8093;0.0965:0.47075
1167610108,84991;0.0984:0.45605
1167610108,89446;0.09935:0.4506
1167610108,93369;0.1928:0.6652
1167610108,97661;0.18755:0.67865
1167610109,01656;0.1881:0.6943
1167610109,06168;0.1925:0.687
1167610109,10109;0.2882:0.73845
1167610109,14487;0.29435:0.72825
1167610109,18228;0.3007:0.7277
1167610109,22363;0.29345:0.7221
1167610109,26141;0.29895:0.72985
1167610109,30319;0.29855:0.72495
1167610109,34199;0.296:0.72505
1167610109,38451;0.2919:0.7274
1167610109,42124;0.2961:0.71805
1167610109,45833;0.2969:0.71445
1167610109,49543;0.34565:0.3892
1167610109,53227;0.35015:0.3723
1167610109,57095;0.34925:0.3741
1167610109,60776;0.3476:0.3754
1167610109,64406;0.353:0.3766
1167610109,68048;0.3511:0.3796
1167610109,71717;0.3538:0.3604
1167610109,75416;0.35235:0.37035
1167610109,79209;0.22535:0.2823
1167610109,82972;0.1454:0.26
1167610109,86841;0.14525:0.2571
1167610109,90611;0.15325:0.24455
1167610109,94255;0.1508:0.25475
1167610109,97921;0.1476:0.2584
1167610110,017;0.17285:0.2588
1167610110,05471;0.1776:0.26215
1167610110,09385;0.1729:0.25955
1167610110,13357;0.1747:0.2673
1167610110,17213;0.1733:0.2482
1167610110,21112;0.0938:0.30845
1167610110,25041;0.066:0.3497
1167610110,28738;0.068:0.34165
1167610110,3244;0.0661:0.34775
1167610110,36169;0.06975:0.35325
1167610110,39975;0.06825:0.3416
1167610110,43695;0.07765:0.33165
1167610110,47917;0.10365:0.34955
1167610110,51698;0.10325:0.36685
1167610110,55442;0.10375:0.3519
1167610110,59307;0.10835:0.3513
1167610110,63157;0.10365:0.35655
1167610110,67217;0.10525:0.35515
1167610110,71039;0.1059:0.3572
1167610110,75258;0.1098:0.35395
1167610110,79149;0.10675:0.356
1167610110,83649;0.06825:0.6691
1167610110,87544;0.0681:0.6848
1167610110,91868;0.07245:0.67685
1167610110,95706;0.06845:0.6829
1167610111,0022;0.0622:0.6719
1167610111,04297;0.0689:0.69505
1167610111,08677;0.0739:0.6744
1167610111,12625;0.0679:0.6915
1167610111,16977;0.186:0.78875
1167610111,20942;0.18975:0.7774
1167610111,25334;0.1926:0.77765
1167610111,29269;0.1985:0.78895
1167610111,33369;0.197:0.79495
1167610111,37032;0.2014:0.77735
1167610111,40683;0.1926:0.80095
1167610111,44353;0.1947:0.795
1167610111,48073;0.1937:0.80485
1167610111,51797;0.14715:0.79725
1167610111,55525;0.14525:0.80645
1167610111,59171;0.14615:0.8056
1167610111,6305;0.14165:0.79725
1167610111,66796;0.13795:0.803
1167610111,70583;0.1411:0.80415
1167610111,744;0.1386:0.8038
1167610111,7817;0.30475:0.7964
1167610111,81914;0.41805:0.838
1167610111,85615;0.41435:0.8322
1167610111,89493;0.4143:0.83485
1167610111,93339;0.4105:0.8503
1167610111,97193;0.41615:0.8341
1167610112,01062;0.3949:0.8879
1167610112,04982;0.3942:0.87095
1167610112,08841;0.39405:0.8775
1167610112,12711;0.3975:0.8629
1167610112,16555;0.3933:0.8738
1167610112,20397;0.3932:0.8771
1167610112,24263;0.39515:0.86815
1167610112,28107;0.35075:0.85575
1167610112,3191;0.12665:0.8784
1167610112,35664;0.12955:0.89695
1167610112,3934;0.12935:0.89605
1167610112,43427;0.12535:0.88935
1167610112,47147;0.12525:0.8694
1167610112,50888;0.1272:0.89375
1167610112,54676;0.122:0.8913
1167610112,58462;0.1293:0.86715
1167610112,62541;0.1207:0.87395
1167610112,66279;0.12775:0.8912
1167610112,70292;0.1267:0.8889
1167610112,74118;0.12595:0.8931
1167610112,78507;0.12735:0.8731
1167610112,82266;0.12595:0.8812
1167610112,86512;0.1281:0.89545
1167610112,90248;0.11175:0.8985
1167610112,94591;0.0838:0.9232
1167610112,98459;0.08075:0.9039
1167610113,02728;0.0784:0.8952
1167610113,06546;0.0778:0.9091
1167610113,10771;0.39985:0.835
1167610113,14645;0.4003:0.8463
1167610113,19032;0.40215:0.8521
1167610113,22829;0.40035:0.85185
1167610113,27016;0.4:0.8437
1167610113,30783;0.40375:0.85055
1167610113,34522;0.4018:0.83595
1167610113,38215;0.40495:0.8282
1167610113,41931;0.40515:0.84025
1167610113,45572;0.498:0.78945
1167610113,49248;0.53965:0.7853
1167610113,52962;0.5363:0.7883
1167610113,56572;0.53955:0.7787
1167610113,60208;0.53735:0.78995
1167610113,63889;0.53755:0.78725
1167610113,67521;0.5378:0.80115
1167610113,71114;0.5396:0.7838
1167610113,74735;0.6595:0.7785
1167610113,78309;0.6841:0.7608
1167610113,82014;0.67475:0.7725
1167610113,85713;0.67945:0.77095
1167610113,893;0.67765:0.76555
1167610113,93023;0.69875:0.7347
1167610113,9675;0.73175:0.58505
1167610114,00469;0.7495:0.5586
1167610114,04212;0.75435:0.5637
1167610114,07892;0.75125:0.56805
1167610114,11462;0.77215:0.53975
1167610114,15056;0.85675:0.59335
1167610114,18522;0.85015:0.60385
1167610114,21988;0.8536:0.59215
1167610114,25471;0.8591:0.5875
1167610114,29026;0.8559:0.59515
1167610114,32667;0.8531:0.60675
1167610114,36729;0.8508:0.5911
1167610114,40265;0.8115:0.5471
1167610114,43925;0.76785:0.50325
1167610114,47593;0.76335:0.51845
1167610114,51139;0.76725:0.4848
1167610114,55162;0.7698:0.5001
1167610114,58839;0.72995:0.48545
1167610114,6291;0.72925:0.49015
1167610114,66749;0.71915:0.4705
1167610114,71049;0.72875:0.4648
1167610114,74819;0.72335:0.50655
1167610114,7892;0.72365:0.4704
1167610114,82556;0.7304:0.4746
1167610114,86808;0.7199:0.48435
1167610114,906;0.7296:0.47305
1167610114,94752;0.7299:0.48915
1167610114,98461;0.7262:0.4848
1167610115,02594;0.7276:0.488
1167610115,06593;0.7235:0.48485
1167610115,10898;0.7587:0.4848
1167610115,14747;0.8494:0.67105
1167610115,18828;0.8489:0.6764
1167610115,22616;0.85485:0.6633
1167610115,26435;0.8519:0.67915
1167610115,30316;0.86305:0.6682
1167610115,34113;0.8527:0.677
1167610115,37893;0.85285:0.6629
1167610115,41649;0.84905:0.67885
1167610115,45499;0.85135:0.65695
1167610115,49212;0.8547:0.6691
1167610115,5292;0.8551:0.71425
1167610115,56609;0.8624:0.70135
1167610115,6028;0.8595:0.7077
1167610115,63995;0.858:0.71395
1167610115,67681;0.86315:0.70035
1167610115,71409;0.85685:0.70075
1167610115,75053;0.85985:0.70795
1167610115,78733;0.8595:0.70135
1167610115,82413;0.85605:0.70685
1167610115,861;0.86345:0.7016
1167610115,898;0.8515:0.6848
1167610115,93496;0.85755:0.69335
1167610115,97162;0.85865:0.692
1167610116,0081;0.86225:0.69975
1167610116,04551;0.8673:0.6986
1167610116,0829;0.85725:0.73505
1167610116,11947;0.8602:0.7317
1167610116,15706;0.85715:0.7445
1167610116,19469;0.86075:0.75515
1167610116,23228;0.847:0.75395
1167610116,27381;0.859:0.74325
1167610116,31081;0.85285:0.75425
1167610116,34866;0.85795:0.7371
1167610116,38628;0.86035:0.737
1167610116,42442;0.8556:0.757
1167610116,46587;0.85935:0.739
1167610116,50428;0.85855:0.738
1167610116,54572;0.86615:0.728
1167610116,58475;0.7308:0.5409
1167610116,62915;0.7319:0.5301
1167610116,66638;0.7285:0.53835
1167610116,70759;0.7326:0.5323
1167610116,74453;0.7281:0.5477
1167610116,78726;0.7322:0.55955
1167610116,82393;0.7241:0.5302
1167610116,8651;0.6454:0.5235
1167610116,90223;0.1948:0.6473
1167610116,94366;0.17105:0.673
1167610116,98015;0.15415:0.65715
1167610117,02177;0.15425:0.68445
1167610117,06015;0.16065:0.6596
1167610117,09856;0.1623:0.68105
1167610117,13291;0.12115:0.6971
1167610117,16865;0.13275:0.68605
1167610117,20367;0.131:0.69235
1167610117,23911;0.1371:0.69835
1167610117,27444;0.13495:0.6963
1167610117,31032;0.0462:0.68465
1167610117,34665;0.0456:0.70245
1167610117,38193;0.05145:0.68165
1167610117,41691;0.04245:0.6854
1167610117,45153;0.0483:0.6797
1167610117,4869;0.04535:0.6827
1167610117,52236;0.11625:0.828
1167610117,55747;0.12425:0.81505
1167610117,59469;0.12865:0.8369
1167610117,63063;0.1175:0.8309
1167610117,66687;0.1234:0.81075
1167610117,70398;0.11995:0.82165
1167610117,74073;0.12195:0.82735
1167610117,77807;0.1195:0.82575
1167610117,81462;0.09185:0.3498
1167610117,85191;0.08725:0.3437
1167610117,88972;0.09375:0.3476
1167610117,92622;0.09095:0.34915
1167610117,96413;0.0895:0.34265
1167610118,00032;0.0818:0.34365
1167610118,03822;0.08825:0.3487
1167610118,076;0.08345:0.34765
1167610118,11327;0.2381:0.2734
1167610118,15132;0.24715:0.27865
1167610118,19393;0.24935:0.2719
1167610118,23251;0.25055:0.26515
1167610118,26972;0.3692:0.3686
1167610118,30743;0.3758:0.36265
1167610118,34537;0.37345:0.34725
1167610118,38657;0.373:0.3579
1167610118,42453;0.36625:0.3772
1167610118,46557;0.36805:0.37095
1167610118,50254;0.3683:0.36135
1167610118,54457;0.3711:0.36785
1167610118,58264;0.3673:0.36915
1167610118,62532;0.3695:0.36975
1167610118,66385;0.1897:0.2664
1167610118,70749;0.19235:0.26875
1167610118,7479;0.18895:0.2655
1167610118,78936;0.195:0.26655
1167610118,82644;0.19605:0.2628
1167610118,86946;0.1923:0.26535
1167610118,90907;0.19345:0.2494
1167610118,95209;0.19595:0.2743
1167610118,99061;0.19355:0.25635
1167610119,03432;0.19845:0.26935
1167610119,07261;0.198:0.2691
1167610119,11045;0.20295:0.2807
1167610119,14741;0.48995:1.22315
1167610119,18524;
1167610119,23137;
1167610119,26049;
1167610119,29584;
1167610119,33914;
1167610119,36969;
1167610119,40007;
1167610119,43039;
1167610119,46069;
1167610119,49065;
1167610119,5205;
1167610119,55036;
1167610119,58012;
1167610119,60992;
1167610119,63965;
1167610119,68419;
1167610119,72878;
1167610119,75991;
1167610119,79787;
1167610119,85543;
1167610120,07178;
1167610120,10413;
1167610120,24194;
1167610120,2849;
1167610120,32206;
1167610120,36492;
1167610120,40742;0.5274:0.634
1167610120,44526;0.7649:0.35605
1167610120,49286;
1167610120,54405;0.7648:0.35635
1167610120,57515;0.7621:0.34245
1167610120,61875;0.7632:0.3379
1167610120,65696;0.7835:0.2513
1167610120,70145;0.7956:0.22025
1167610120,74051;0.7955:0.22735
1167610120,78315;0.7927:0.22175
1167610120,8212;0.79885:0.22575
1167610120,86316;0.7928:0.2293
1167610120,90239;0.79295:0.2264
1167610120,94629;0.80085:0.2271
1167610120,9843;0.9108:0.25475
1167610121,0261;0.94425:0.28145
1167610121,06373;0.94585:0.2908
1167610121,10142;0.94665:0.2891
1167610121,13877;0.9378:0.2879
1167610121,17644;0.94245:0.2884
1167610121,21456;0.92515:0.33355
1167610121,25389;0.8738:0.4721
1167610121,29133;0.87665:0.47895
1167610121,32848;0.87495:0.47615
1167610121,36477;0.87695:0.475
1167610121,40158;0.8713:0.4754
1167610121,43832;0.87205:0.48195
1167610121,47511;0.87665:0.47775
1167610121,51296;0.8751:0.4752
1167610121,55065;0.87095:0.4705
1167610121,58931;0.87535:0.48525
1167610121,62826;0.87395:0.4869
1167610121,66512;0.87485:0.47735
1167610121,70235;0.87375:0.4884
1167610121,74072;0.8704:0.47655
1167610121,77792;0.88005:0.4764
1167610121,81597;0.86995:0.47795
1167610121,85536;0.83885:0.44285
1167610121,89399;0.57135:0.36405
1167610121,93256;0.57855:0.37375
1167610121,9694;0.57215:0.369
1167610122,00855;0.5736:0.3618
1167610122,04779;0.5721:0.3628
1167610122,08577;0.5758:0.3727
1167610122,12749;0.57425:0.37055
1167610122,16493;0.57595:0.3677
1167610122,20264;0.5763:0.37
1167610122,24025;0.5749:0.3732
1167610122,27798;0.41535:0.35445
1167610122,31853;0.38045:0.348
1167610122,3577;0.38405:0.3473
1167610122,40225;0.3844:0.35835
1167610122,4433;0.3834:0.3506
1167610122,48838;0.3801:0.33755
1167610122,52792;0.39845:0.30715
1167610122,57144;0.3962:0.31
1167610122,60916;0.40305:0.3177
1167610122,65143;0.39765:0.30265
1167610122,69075;0.4011:0.2881
1167610122,73447;0.2621:0.2423
1167610122,77327;0.14115:0.19025
1167610122,81723;0.1501:0.2009
1167610122,85647;0.14775:0.19945
1167610122,90394;0.1516:0.20395
1167610122,94225;0.1491:0.1988
1167610122,98489;0.12795:0.1963
1167610123,02168;0.03615:0.2421
1167610123,05956;0.0376:0.24525
1167610123,09798;0.0402:0.2362
1167610123,13518;0.0335:0.2403
1167610123,17288;0.03895:0.2465
1167610123,21038;0.0392:0.24125
1167610123,24839;0.0372:0.2435
1167610123,28764;0.0355:0.24425
1167610123,32595;0.0324:0.2593
1167610123,37178;0.0388:0.249
1167610123,4102;0.0353:0.25835
1167610123,45081;0.03925:0.2526
1167610123,48697;0.0403:0.26055
1167610123,52688;0.0399:0.24955
1167610123,56642;0.04075:0.25445
1167610123,60529;0.0357:0.23505
1167610123,6443;0.05065:0.29275
1167610123,68513;0.0573:0.2795
1167610123,72516;0.04985:0.27835
1167610123,76438;0.05855:0.2791
1167610123,8034;0.0572:0.281
1167610123,84248;0.1264:0.5854
1167610123,88238;0.13485:0.6279
1167610123,92044;0.1359:0.62515
1167610123,95912;0.13575:0.6199
1167610123,99795;0.1374:0.62725
1167610124,03766;0.13395:0.6342
1167610124,08164;0.13795:0.6135
1167610124,12017;0.31605:0.73255
1167610124,15879;0.31785:0.7262
1167610124,19713;0.3229:0.7286
1167610124,2351;0.3272:0.72915
1167610124,27564;0.3247:0.7151
1167610124,31368;0.3172:0.72895
1167610124,35666;0.31715:0.7326
1167610124,39489;0.40465:0.7276
1167610124,43945;0.641:0.68605
1167610124,47912;0.647:0.68525
1167610124,52275;0.65065:0.6759
1167610124,56095;0.63885:0.6835
1167610124,60337;0.6434:0.68925
1167610124,64032;0.6397:0.6907
1167610124,6815;0.65875:0.6782
1167610124,71898;0.86515:0.6191
1167610124,76009;0.87275:0.62825
1167610124,79823;0.87685:0.60845
1167610124,84096;0.8799:0.62665
1167610124,88154;0.87385:0.60925
1167610124,92546;0.8756:0.6231
1167610124,96315;0.8775:0.61665
1167610125,00097;0.8722:0.6219
1167610125,03885;0.877:0.62535
1167610125,07676;0.8662:0.721
1167610125,11448;0.86375:0.7209
1167610125,15258;0.8626:0.7167
1167610125,19107;0.8742:0.7051
1167610125,2295;0.86905:0.71645
1167610125,26718;0.86915:0.72955
1167610125,30475;0.86665:0.72505
1167610125,34315;0.8683:0.7331
1167610125,3814;0.87175:0.7096
1167610125,42012;0.6574:0.52815
1167610125,45846;0.65915:0.5363
1167610125,4971;0.66205:0.5324
1167610125,53617;0.6564:0.53555
1167610125,57437;0.66275:0.5266
1167610125,6117;0.6536:0.53395
1167610125,64876;0.60605:0.57675
1167610125,68628;0.60235:0.5647
1167610125,72366;0.59835:0.56095
1167610125,76083;0.6066:0.57415
1167610125,79816;0.60645:0.56925
1167610125,83526;0.60385:0.55505
1167610125,8737;0.6054:0.5623
1167610125,91179;0.57725:0.5934
1167610125,9493;0.44:0.7492
1167610125,98735;0.43565:0.76085
1167610126,0277;0.43305:0.7435
1167610126,06437;0.43455:0.7397
1167610126,10126;0.4369:0.7433
1167610126,13879;0.46975:0.7313
1167610126,17647;0.4736:0.7234
1167610126,2184;0.476:0.73525
1167610126,25793;0.47595:0.74405
1167610126,3022;0.47555:0.7306
1167610126,34247;0.4715:0.7276
1167610126,3881;0.4707:0.73625
1167610126,42806;0.3089:0.74115
1167610126,47189;0.3046:0.74535
1167610126,51072;0.3067:0.7286
1167610126,55245;0.30335:0.7211
1167610126,59013;0.3085:0.7384
1167610126,63021;0.32135:0.74055
1167610126,66525;0.3264:0.74075
1167610126,70598;0.31925:0.7228
1167610126,74294;0.3239:0.72965
1167610126,78427;0.3196:0.72655
1167610126,82157;0.32505:0.7374
1167610126,86217;0.3205:0.7388
1167610126,89853;0.3213:0.73125
1167610126,93513;0.3223:0.72935
1167610126,97158;0.32525:0.7336
1167610127,00776;0.32485:0.74315
1167610127,04382;0.3225:0.72675
1167610127,07995;0.3228:0.73125
1167610127,11585;0.3245:0.7297
1167610127,15126;0.32255:0.7366
1167610127,18651;0.3222:0.72835
1167610127,22181;0.32395:0.73995
1167610127,25816;0.3325:0.7351
1167610127,29547;
1167610127,33209;
1167610127,35738;
1167610127,38407;
1167610127,41019;
1167610127,43656;
1167610127,46332;
1167610127,49149;
1167610127,52112;
1167610127,55216;
1167610127,58732;
1167610127,62495;
1167610127,65477;
1167610127,68567;
1167610127,71675;
1167610127,74833;
1167610127,78615;
1167610127,82406;
1167610127,86191;
1167610127,89981;
1167610127,93765;
1167610127,97559;
1167610128,01351;
1167610128,05147;
1167610128,08941;
1167610128,1339;
1167610128,17846;
1167610128,22293;
1167610128,26751;
1167610128,30636;
1167610128,35083;
